zone,vil_name,wards,n,est_hh,lat,lon,alt,spread_km
1,Aniafe,13,16,53,-9.203658,148.259985,862.850005,0.273583
1,Itokama,"13,14,7",89,294,-9.199884,148.266040,862.799990,2.277815
1,Kwae,13,36,119,-9.195015,148.260890,858.399995,16.506877
1,Madokoro,14,5,16,-9.215942,148.266050,863.000000,0.209248
1,Naokanane,14,26,86,-9.210596,148.265735,863.200010,1.693372
1,Umuwate,14,1,3,-9.135433,148.401440,745.000000,0.000000
10,Borohojo,10,82,271,-9.002209,148.243315,850.000000,3.077990
10,Kero,10,27,89,-9.003253,148.234050,833.799990,1.296148
10,Kinando,10,15,49,-9.001206,148.235170,838.299990,0.598275
2,Arafuro,12,4,13,-9.108934,148.280765,863.299990,0.531503
2,Gajot,"12,13",27,89,-9.129558,148.273090,879.500000,0.791340
2,Serefuna,"12,13",23,76,-9.155950,148.273100,844.000000,5.212089
2,Umbuara,"12,2",19,63,-9.121465,148.273130,881.599980,0.741445
3,Jorua,9,18,59,-9.087193,148.304540,852.599980,0.449134
3,Kiera,9,16,53,-9.095910,148.288200,875.500000,0.631663
3,Koruwo,11,4,13,-9.109897,148.312150,792.200010,0.190373
3,Natanga,9,29,96,-9.070176,148.291110,943.099980,14.429039
4,Aiari,16,33,109,-9.349725,148.217220,647.400020,0.252085
4,Jaure,"17,4",18,59,-9.275404,148.145235,917.099980,33.107541
4,Suari,17,10,33,-9.275762,148.144680,906.600005,37.943787
5,Dea,"5,7",31,102,-9.067194,148.329680,925.700010,20.050121
5,Siribu,"7,8",7,23,-9.091052,148.321180,798.299990,4.400890
5,Tabuane,7,32,106,-9.064706,148.340345,924.250000,10.970083
5,Ugunomu,7,16,53,-9.063105,148.317865,955.350005,1.247261
6,Kaura,4,101,333,-9.063345,148.377530,824.799990,2.034985
6,Numba,5,44,145,-9.051074,148.365495,947.500000,7.148280
6,Sigara,5,11,36,-9.041073,148.449070,596.500000,1.628067
6,Sila/Sakarina,6,12,40,-9.065843,148.369870,794.700010,1.643846
7a,Dareki,"2,3,6",44,145,-9.100225,148.432320,647.899995,5.620722
7a,Kawowoki,3,84,277,-9.101146,148.391570,824.649995,13.550154
7b,Afore,2,19,63,-9.142586,148.391510,843.599980,0.432738
7b,Afore Government Station,2,2,7,-9.139825,148.388840,837.750000,0.058993
7b,Afore Settlement Scheme,"2,3",15,49,-9.124137,148.404740,735.599980,2.377343
7b,Basabe,"2,4",20,66,-9.137629,148.385720,824.149995,1.524933
7b,Karokora,2,4,13,-9.145301,148.388430,840.800015,0.719530
7b,Niniuri,2,6,20,-9.142183,148.391485,835.000000,22.093218
7b,Ogan,"1,2",21,69,-9.132831,148.397310,789.000000,2.027881
7b,Semehara,2,4,13,-9.133923,148.373480,755.000000,1.838932
8,Bua,1,12,40,-9.138091,148.434695,1053.700000,1.934716
8,Kuheani,1,11,36,-9.135940,148.456390,839.299990,0.216755
8,Manusi,"1,8",52,172,-9.130919,148.425785,846.050015,3.905867
8,Marasi,1,3,10,-9.130730,148.429840,864.500000,2.483827
8,Verayame,1,10,33,-9.129583,148.446480,886.400020,0.368087
9,Biriri,15,25,82,-9.212130,148.439830,676.099980,14.144387
9,Gewoya,15,57,188,-9.220578,148.499250,178.399990,15.929294
9,Toma,15,22,73,-9.210894,148.400535,489.750000,2.347335
