name	size	modified	drive_id
Afore_Guest_house_to_Koruwo_2026-02-01_09-23.gpx	267028	2026-03-21T07:13:32Z	1IcfQSGF7Fh51ZkR0sfD7ZaceTK5vcDyV
Anatua-Gadzot-Umbuwara-Track_001.gpx	46442	2026-03-17T23:55:29Z	1dxMedtis7S37SbHV_lmJeciiLwSHuCcY
Anatua_to_Serefuna_2026-02-04_09-35.gpx	43354	2026-02-09T01:26:50Z	1mDdglINDSAP-wLzlfDaLdvnhtc0_-H2-
Awaru_to_Sigara_Road_2026-02-19_14-22.gpx	12876	2026-03-21T07:13:32Z	1CvBDwX_xyIYJtwAEDo-NPsEG2w11eLJI
Bioi_village_to_Omajeap_main_road.gpx	54260	2026-02-23T21:39:05Z	1OlPdldwinOPJTqbFSjz31qTjFkQybl9B
Gadzot_Road.gpx	192103	2026-01-24T10:44:02Z	1-E8P5m7q04Lw3dPKxIm2ZPk1Me3PP54A
Gora_to_Jorura_David_Jajibas_Track_recording.kmz	14475	2026-07-22T09:14:35Z	1gpU4uAnoj8jGTIAFl6nI5YBLWTutG_RG
Itokama_to_Umuate_Davids_track_record.kmz	8310	2026-07-22T09:12:39Z	1lCGpIGgykwW7aauso0BWNQcgkJFm3DRY
Jorua_to_Girua_Track.kmz	31657	2026-04-14T12:53:36Z	1uTQqwiCvdAAQVUC7IAuAhdGJyV6a63f3
Jorura_to_Afore_Davids_track_record.kmz	18753	2026-07-22T09:16:28Z	19cCgUr68wniy9yUzwzvTxDvJ0Xv8nNEW
Kaura_to_Koeno_2025-12-09_08-25.gpx	109826	2026-03-21T07:13:32Z	1U1fJXgZ1Bg9G_mWbqMOFtrlnvSuXEkkg
Kaura_to_Kuhara_2025-12-09_08-25.gpx	109826	2026-03-21T07:13:32Z	1amPbQras-X_wCUZQQ4r3V99fYEBff9Ur
Kaura_to_Numba_then_to_Kuhara_Kuhara_2025-12-12_06-12.gpx	341223	2026-03-21T07:13:32Z	1D5uTliamttJWvA4mxPR3_w_Zzz4IOLue
Kaura_to_Sigara_Village_2026-02-17_07-08.gpx	198381	2026-03-21T07:13:32Z	1KVqV-BGjRlLghtgqag-vb5WWTJrupd12
Kiara_to_Grid_63_and_back.gpx	376474	2026-04-19T12:42:33Z	1ehfSc54mR8ackSYsL-tyIwmJbnjgb9Ln
Koeno_to_Numba_then_to_Kaura.gpx	120298	2026-03-21T07:13:32Z	1Fk4FRSGNcciXWRG8njRE49jYMxOYD-Oz
Koeno_to_Tabuane_2026-02-21_03-20.gpx	40933	2026-03-21T07:13:32Z	1e2zbVPCa8aVRJc9HZxZJ8uMDiayPxoOf
Korouwo_to_Anatua_via_Bodoimo_2026-02-01_15-22.gpx	195857	2026-02-09T01:29:28Z	1cwdf-27AqOcKlWASUyGpUYaZh8VYYk_q
Koruwo_to_Bodoimo_to_Anatua_2026-02-02_11-19.gpx	200935	2026-03-21T07:13:32Z	18ERhcVyZr_gcMPDvbRBhdbCB_8Uc_Zt-
Kuhara_Village_to_Kaura_2025-12-17_09-16.gpx	4176	2026-03-21T07:13:32Z	18-0i5_Y8I0nMZP_68HjXKMRwPvVQcTb6
Kuhenei_to_Dakanatam_main_road.gpx	35563	2026-02-23T21:39:05Z	13RYRKJQLs-IUPQGLcw-imxpA-NO7bfec
Popondetta_to_Anatua_Road.kmz	23112	2026-07-24T13:02:13Z	1SBcEQFYWveblRDqWyglMPbdx6RIOQ5aG
Russell_Muraba_Trek_Record_2.kmz	147709073	2026-08-03T11:20:19Z	1VwatBOjz0C_hrnL0dbAR953zCPJWgv9A
Sakarina-Numba-Kaura.gpkg	208896	2026-07-24T14:35:35Z	1bSU6jRE2_2Su6p73NMX7TYip-TFzFYO8
Turatan_to_Bioi_village.gpx	53767	2026-02-23T21:39:05Z	16Zfdpu94Kor0gbXaclfo52ugMPD2Lt9i
Vereyame_connects_Yoivi,_Aguido_Primary_School_and_Kuheine.gpx	64971	2026-02-23T21:39:05Z	1hCMOsKVApqB1dPbMTsK5wzhnJ0pyBKDI
