name,type,type_certain,source_name,source_file,format,activity,date,length_km,vertices
Popondetta to Anatua Road,Road,True,Track Infinity,Popondetta_to_Anatua_Road.kmz,kmz,,,150.97,2088
Road Track - Popondetta to Sakarina Junction (seg 2),Road,True,"Road Track - Popondetta to Sakarina Junction, 2025-07-04 10:48",Roads_Popondetta_to_Afore.gpx,gpx,walking,2025-07-04,148.55,2058
Itokama to Afore Road (seg 1),Road,True,Itokama to Afore Road 2025-10-06 13:29,Roads_Popondetta_to_Afore.gpx,gpx,walking,2025-07-04,46.93,1326
Jorua to Girua Track,Village-to-village track,True,Jorua to Girua Track,Jorua_to_Girua_Track.kmz,kmz,,,40.88,3147
Gadzot Road,Road,True,Saved Track 2025-11-16 14:06,Gadzot_Road.gpx,gpx,walking,2025-11-16,29.47,726
road track save (seg 3),Road,True,road track save 2025-10-05 12:05,Roads_Popondetta_to_Afore.gpx,gpx,walking,2025-07-04,27.87,618
David's track record from Jorura to Afore,Village-to-village track,True,David's track record from Jorura to Afore.,Jorura_to_Afore_Davids_track_record.kmz,kmz,,,23.11,1782
David Jajiba's : Track recording from Gora to Jorura,Village-to-village track,True,David Jajiba's : Track recording from Gora to Jorura.,Gora_to_Jorura_David_Jajibas_Track_recording.kmz,kmz,,,16.25,1350
David Jajiba's : Track recording from Gora to Jorura (seg 86),Village-to-village track,True,David Jajiba's : Track recording from Gora to Jorura.,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,16.25,1350
Cropping Calendar Survey Track to Kuhara,Garden / survey track,True,Cropping Calendar Survey Track to Kuhara 2025-12-12 06:12,Kaura_to_Numba_then_to_Kuhara_Kuhara_2025-12-12_06-12.gpx,gpx,walking,2025-12-12,16.21,1435
Track to Kuhara (seg 94),Village-to-village track,True,Track to Kuhara 2025-12-12 06:12,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,16.21,1435
Kiara to Grid 63 and back,Garden / survey track,False,Kiara to Grid 63 and back,Kiara_to_Grid_63_and_back.gpx,gpx,walking,2026-04-18,15.87,1439
Numba to Koeno track and road to Afore,Road,True,Numba to Koeno track and road to Afore,Numba_to_Koeno_track_and_road_to_Afore.gpx,gpx,walking,2026-08-28,14.66,403
Semahara to Tabuane track (seg 27),Village-to-village track,True,Semahara to Tabuane track,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,13.95,1155
Afore Guest house,Garden / survey track,False,Afore Guest house 2026-02-01 09:23,Afore_Guest_house_to_Koruwo_2026-02-01_09-23.gpx,gpx,walking,2026-02-01,11.62,1005
